Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 3.233331	Val Loss: 3.678892	Val Acc: 13
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 3.674756	Val Loss: 3.242603	Val Acc: 21
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 2.449364	Val Loss: 2.622984	Val Acc: 29
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 2.416899	Val Loss: 2.397500	Val Acc: 30
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 1.896024	Val Loss: 2.090822	Val Acc: 30
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 2.035796	Val Loss: 2.066631	Val Acc: 35
Train Epoch: 1 [30720/49000 (62%)]	Train Loss: 2.079985	Val Loss: 2.001420	Val Acc: 34
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 2.030951	Val Loss: 2.023122	Val Acc: 36
Train Epoch: 1 [40960/49000 (83%)]	Train Loss: 1.822598	Val Loss: 1.843656	Val Acc: 37
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 2.042983	Val Loss: 1.928382	Val Acc: 37
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 1.923018	Val Loss: 1.880844	Val Acc: 38
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: 1.674094	Val Loss: 1.707536	Val Acc: 41
Train Epoch: 2 [10240/49000 (21%)]	Train Loss: 1.778536	Val Loss: 1.836223	Val Acc: 39
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: 1.666200	Val Loss: 1.702309	Val Acc: 43
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: 1.648117	Val Loss: 1.685040	Val Acc: 42
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 1.579196	Val Loss: 1.663054	Val Acc: 43
Train Epoch: 2 [30720/49000 (62%)]	Train Loss: 1.639011	Val Loss: 1.666259	Val Acc: 43
Train Epoch: 2 [35840/49000 (73%)]	Train Loss: 1.690267	Val Loss: 1.661314	Val Acc: 43
Train Epoch: 2 [40960/49000 (83%)]	Train Loss: 1.537104	Val Loss: 1.664278	Val Acc: 41
Train Epoch: 2 [46080/49000 (94%)]	Train Loss: 1.600929	Val Loss: 1.710598	Val Acc: 42
Train Epoch: 3 [0/49000 (0%)]	Train Loss: 1.575517	Val Loss: 1.634382	Val Acc: 43
Train Epoch: 3 [5120/49000 (10%)]	Train Loss: 1.533852	Val Loss: 1.634264	Val Acc: 44
Train Epoch: 3 [10240/49000 (21%)]	Train Loss: 1.636877	Val Loss: 1.689183	Val Acc: 44
Train Epoch: 3 [15360/49000 (31%)]	Train Loss: 1.487821	Val Loss: 1.630728	Val Acc: 45
Train Epoch: 3 [20480/49000 (42%)]	Train Loss: 1.570062	Val Loss: 1.588209	Val Acc: 44
Train Epoch: 3 [25600/49000 (52%)]	Train Loss: 1.561176	Val Loss: 1.632250	Val Acc: 44
Train Epoch: 3 [30720/49000 (62%)]	Train Loss: 1.504533	Val Loss: 1.557186	Val Acc: 45
Train Epoch: 3 [35840/49000 (73%)]	Train Loss: 1.420994	Val Loss: 1.624856	Val Acc: 42
Train Epoch: 3 [40960/49000 (83%)]	Train Loss: 1.456633	Val Loss: 1.575004	Val Acc: 44
Train Epoch: 3 [46080/49000 (94%)]	Train Loss: 1.518303	Val Loss: 1.515761	Val Acc: 47
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 1.517086	Val Loss: 1.547287	Val Acc: 45
Train Epoch: 4 [5120/49000 (10%)]	Train Loss: 1.499883	Val Loss: 1.572128	Val Acc: 44
Train Epoch: 4 [10240/49000 (21%)]	Train Loss: 1.417004	Val Loss: 1.517131	Val Acc: 48
Train Epoch: 4 [15360/49000 (31%)]	Train Loss: 1.454459	Val Loss: 1.517226	Val Acc: 48
Train Epoch: 4 [20480/49000 (42%)]	Train Loss: 1.571792	Val Loss: 1.629437	Val Acc: 45
Train Epoch: 4 [25600/49000 (52%)]	Train Loss: 1.552929	Val Loss: 1.560454	Val Acc: 45
Train Epoch: 4 [30720/49000 (62%)]	Train Loss: 1.420589	Val Loss: 1.508089	Val Acc: 48
Train Epoch: 4 [35840/49000 (73%)]	Train Loss: 1.427096	Val Loss: 1.506846	Val Acc: 48
Train Epoch: 4 [40960/49000 (83%)]	Train Loss: 1.377335	Val Loss: 1.513807	Val Acc: 46
Train Epoch: 4 [46080/49000 (94%)]	Train Loss: 1.397180	Val Loss: 1.499907	Val Acc: 47
Train Epoch: 5 [0/49000 (0%)]	Train Loss: 1.390725	Val Loss: 1.478362	Val Acc: 48
Train Epoch: 5 [5120/49000 (10%)]	Train Loss: 1.487388	Val Loss: 1.549444	Val Acc: 45
Train Epoch: 5 [10240/49000 (21%)]	Train Loss: 1.441400	Val Loss: 1.520425	Val Acc: 49
Train Epoch: 5 [15360/49000 (31%)]	Train Loss: 1.346040	Val Loss: 1.487351	Val Acc: 49
Train Epoch: 5 [20480/49000 (42%)]	Train Loss: 1.461869	Val Loss: 1.527295	Val Acc: 48
Train Epoch: 5 [25600/49000 (52%)]	Train Loss: 1.402489	Val Loss: 1.558246	Val Acc: 47
Train Epoch: 5 [30720/49000 (62%)]	Train Loss: 1.340459	Val Loss: 1.491974	Val Acc: 48
Train Epoch: 5 [35840/49000 (73%)]	Train Loss: 1.374885	Val Loss: 1.449024	Val Acc: 49
Train Epoch: 5 [40960/49000 (83%)]	Train Loss: 1.342282	Val Loss: 1.453940	Val Acc: 48
Train Epoch: 5 [46080/49000 (94%)]	Train Loss: 1.395744	Val Loss: 1.443819	Val Acc: 49

test set: Average loss: 1.4890, Accuracy: 4772/10000 (47%)

