Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 4.538449	Val Loss: 3.990103	Val Acc: 9
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 2.808269	Val Loss: 2.594517	Val Acc: 13
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 2.417258	Val Loss: 2.442578	Val Acc: 17
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 2.255954	Val Loss: 2.333717	Val Acc: 20
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 2.244276	Val Loss: 2.280804	Val Acc: 21
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 2.224710	Val Loss: 2.208000	Val Acc: 22
Train Epoch: 1 [30720/49000 (62%)]	Train Loss: 2.172492	Val Loss: 2.163601	Val Acc: 25
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 2.118827	Val Loss: 2.139315	Val Acc: 25
Train Epoch: 1 [40960/49000 (83%)]	Train Loss: 2.054311	Val Loss: 2.096314	Val Acc: 26
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 2.073388	Val Loss: 2.070613	Val Acc: 27
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 2.055283	Val Loss: 2.051821	Val Acc: 28
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: 1.998080	Val Loss: 2.038065	Val Acc: 27
Train Epoch: 2 [10240/49000 (21%)]	Train Loss: 1.971025	Val Loss: 2.003579	Val Acc: 29
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: 1.921644	Val Loss: 1.980465	Val Acc: 29
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: 1.954889	Val Loss: 1.977879	Val Acc: 30
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 1.860953	Val Loss: 1.955708	Val Acc: 31
Train Epoch: 2 [30720/49000 (62%)]	Train Loss: 1.859098	Val Loss: 1.945243	Val Acc: 31
Train Epoch: 2 [35840/49000 (73%)]	Train Loss: 1.941928	Val Loss: 1.921970	Val Acc: 33
Train Epoch: 2 [40960/49000 (83%)]	Train Loss: 1.863619	Val Loss: 1.914754	Val Acc: 33
Train Epoch: 2 [46080/49000 (94%)]	Train Loss: 1.892923	Val Loss: 1.905532	Val Acc: 33
Train Epoch: 3 [0/49000 (0%)]	Train Loss: 1.866935	Val Loss: 1.889745	Val Acc: 33
Train Epoch: 3 [5120/49000 (10%)]	Train Loss: 1.830796	Val Loss: 1.883250	Val Acc: 35
Train Epoch: 3 [10240/49000 (21%)]	Train Loss: 1.779568	Val Loss: 1.869910	Val Acc: 34
Train Epoch: 3 [15360/49000 (31%)]	Train Loss: 1.834265	Val Loss: 1.874699	Val Acc: 34
Train Epoch: 3 [20480/49000 (42%)]	Train Loss: 1.797106	Val Loss: 1.854286	Val Acc: 35
Train Epoch: 3 [25600/49000 (52%)]	Train Loss: 1.813706	Val Loss: 1.835052	Val Acc: 36
Train Epoch: 3 [30720/49000 (62%)]	Train Loss: 1.788029	Val Loss: 1.828463	Val Acc: 35
Train Epoch: 3 [35840/49000 (73%)]	Train Loss: 1.787094	Val Loss: 1.828434	Val Acc: 38
Train Epoch: 3 [40960/49000 (83%)]	Train Loss: 1.830541	Val Loss: 1.821802	Val Acc: 36
Train Epoch: 3 [46080/49000 (94%)]	Train Loss: 1.738197	Val Loss: 1.811908	Val Acc: 37
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 1.831359	Val Loss: 1.814915	Val Acc: 36
Train Epoch: 4 [5120/49000 (10%)]	Train Loss: 1.755680	Val Loss: 1.802610	Val Acc: 37
Train Epoch: 4 [10240/49000 (21%)]	Train Loss: 1.783545	Val Loss: 1.797174	Val Acc: 37
Train Epoch: 4 [15360/49000 (31%)]	Train Loss: 1.699832	Val Loss: 1.800962	Val Acc: 37
Train Epoch: 4 [20480/49000 (42%)]	Train Loss: 1.725520	Val Loss: 1.783325	Val Acc: 38
Train Epoch: 4 [25600/49000 (52%)]	Train Loss: 1.740009	Val Loss: 1.783080	Val Acc: 38
Train Epoch: 4 [30720/49000 (62%)]	Train Loss: 1.673387	Val Loss: 1.779978	Val Acc: 38
Train Epoch: 4 [35840/49000 (73%)]	Train Loss: 1.778896	Val Loss: 1.781757	Val Acc: 39
Train Epoch: 4 [40960/49000 (83%)]	Train Loss: 1.773255	Val Loss: 1.765494	Val Acc: 39
Train Epoch: 4 [46080/49000 (94%)]	Train Loss: 1.693459	Val Loss: 1.764182	Val Acc: 39
Train Epoch: 5 [0/49000 (0%)]	Train Loss: 1.675926	Val Loss: 1.760424	Val Acc: 39
Train Epoch: 5 [5120/49000 (10%)]	Train Loss: 1.684391	Val Loss: 1.760112	Val Acc: 39
Train Epoch: 5 [10240/49000 (21%)]	Train Loss: 1.718156	Val Loss: 1.752003	Val Acc: 39
Train Epoch: 5 [15360/49000 (31%)]	Train Loss: 1.637460	Val Loss: 1.747501	Val Acc: 39
Train Epoch: 5 [20480/49000 (42%)]	Train Loss: 1.765643	Val Loss: 1.745771	Val Acc: 40
Train Epoch: 5 [25600/49000 (52%)]	Train Loss: 1.654350	Val Loss: 1.743179	Val Acc: 39
Train Epoch: 5 [30720/49000 (62%)]	Train Loss: 1.699887	Val Loss: 1.738561	Val Acc: 39
Train Epoch: 5 [35840/49000 (73%)]	Train Loss: 1.762551	Val Loss: 1.732254	Val Acc: 40
Train Epoch: 5 [40960/49000 (83%)]	Train Loss: 1.672488	Val Loss: 1.732638	Val Acc: 40
Train Epoch: 5 [46080/49000 (94%)]	Train Loss: 1.667381	Val Loss: 1.727395	Val Acc: 40

test set: Average loss: 1.6969, Accuracy: 3990/10000 (39%)

