Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 2.320688	Val Loss: 2.289684	Val Acc: 14
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 2.226284	Val Loss: 2.223800	Val Acc: 21
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 2.183356	Val Loss: 2.179506	Val Acc: 27
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 2.180325	Val Loss: 2.167071	Val Acc: 28
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 2.142437	Val Loss: 2.150725	Val Acc: 30
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 2.153515	Val Loss: 2.145399	Val Acc: 31
Train Epoch: 1 [30720/49000 (62%)]	Train Loss: 2.143632	Val Loss: 2.134844	Val Acc: 32
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 2.157376	Val Loss: 2.125381	Val Acc: 32
Train Epoch: 1 [40960/49000 (83%)]	Train Loss: 2.153652	Val Loss: 2.127803	Val Acc: 31
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 2.124673	Val Loss: 2.118343	Val Acc: 33
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 2.121037	Val Loss: 2.110743	Val Acc: 34
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: 2.096547	Val Loss: 2.107889	Val Acc: 35
Train Epoch: 2 [10240/49000 (21%)]	Train Loss: 2.080550	Val Loss: 2.103019	Val Acc: 35
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: 2.095500	Val Loss: 2.099428	Val Acc: 35
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: 2.095981	Val Loss: 2.093745	Val Acc: 36
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 2.089463	Val Loss: 2.095657	Val Acc: 35
Train Epoch: 2 [30720/49000 (62%)]	Train Loss: 2.078059	Val Loss: 2.091069	Val Acc: 36
Train Epoch: 2 [35840/49000 (73%)]	Train Loss: 2.102078	Val Loss: 2.092713	Val Acc: 36
Train Epoch: 2 [40960/49000 (83%)]	Train Loss: 2.082986	Val Loss: 2.088598	Val Acc: 36
Train Epoch: 2 [46080/49000 (94%)]	Train Loss: 2.114510	Val Loss: 2.086861	Val Acc: 37
Train Epoch: 3 [0/49000 (0%)]	Train Loss: 2.049033	Val Loss: 2.091331	Val Acc: 36
Train Epoch: 3 [5120/49000 (10%)]	Train Loss: 2.068602	Val Loss: 2.085876	Val Acc: 36
Train Epoch: 3 [10240/49000 (21%)]	Train Loss: 2.079320	Val Loss: 2.077385	Val Acc: 38
Train Epoch: 3 [15360/49000 (31%)]	Train Loss: 2.101521	Val Loss: 2.077243	Val Acc: 37
Train Epoch: 3 [20480/49000 (42%)]	Train Loss: 2.101249	Val Loss: 2.078434	Val Acc: 38
Train Epoch: 3 [25600/49000 (52%)]	Train Loss: 2.072291	Val Loss: 2.076836	Val Acc: 38
Train Epoch: 3 [30720/49000 (62%)]	Train Loss: 2.085159	Val Loss: 2.076986	Val Acc: 38
Train Epoch: 3 [35840/49000 (73%)]	Train Loss: 2.060791	Val Loss: 2.075575	Val Acc: 37
Train Epoch: 3 [40960/49000 (83%)]	Train Loss: 2.104006	Val Loss: 2.071204	Val Acc: 38
Train Epoch: 3 [46080/49000 (94%)]	Train Loss: 2.050107	Val Loss: 2.072655	Val Acc: 38
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 2.072994	Val Loss: 2.069264	Val Acc: 38
Train Epoch: 4 [5120/49000 (10%)]	Train Loss: 2.034701	Val Loss: 2.071043	Val Acc: 37
Train Epoch: 4 [10240/49000 (21%)]	Train Loss: 2.077576	Val Loss: 2.069862	Val Acc: 38
Train Epoch: 4 [15360/49000 (31%)]	Train Loss: 2.088354	Val Loss: 2.065959	Val Acc: 39
Train Epoch: 4 [20480/49000 (42%)]	Train Loss: 2.075476	Val Loss: 2.061271	Val Acc: 40
Train Epoch: 4 [25600/49000 (52%)]	Train Loss: 2.052444	Val Loss: 2.060077	Val Acc: 40
